,exp_Gene
0,Snhg6
1,Lactb2
2,Sbspon
3,Pkhd1
4,Mcm3
5,Prim2
6,Bag2
7,Uggt1
8,Mgat4a
9,Fhl2
10,Tex30
11,Slc39a10
12,Pgap1
13,Klf7
14,Akr1cl
15,Idh1
16,Kansl1l
17,Acadl
18,Fn1
19,Mreg
20,Pecr
21,Igfbp5
22,Tmbim1
23,Ptprn
24,Resp18
25,Epha4
26,Serpine2
27,Sphkap
28,Dner
29,Ngef
30,Hjurp
31,Kif1a
32,Dtymk
33,Pam
34,Rnf152
35,Bcl2
36,Tmem163
37,Mcm6
38,Nfasc
39,Atp2b4
40,Adora1
41,Nav1
42,5730559C18Rik
43,Nr5a2
44,2310009B15Rik
45,Trove2
46,Swt1
47,Lamc1
48,Npl
49,Qsox1
50,Fam163a
51,Soat1
52,Pappa2
53,Fmo1
54,Fmo2
55,Uap1
56,Lbr
57,Enah
58,Tgfb2
59,Rrp15
60,Cenpf
61,Prox1
62,Atf3
63,Dtl
64,St18
65,Pcmtd1
66,Sulf1
67,Gsta3
68,Col9a1
69,Khdrbs2
70,Dst
71,Hs6st1
72,Inpp4a
73,Il1r1
74,Gulp1
75,Wdr75
76,Spats2l
77,Casp8
78,Nop58
79,Adam23
80,Unc80
81,Atic
82,Igfbp2
83,Vil1
84,Lrrn2
85,Ube2t
86,Csrp1
87,Uchl5
88,Ivns1abp
89,Igsf8
90,Fmn2
91,Itpkb
92,Parp1
93,Cnih4
94,Dusp10
95,Ptpn14
96,Gm28172
97,Prox1os
98,Tmem206
99,Syne1
100,Fbxo5
101,Rgs17
102,Samd5
103,Adgb
104,Utrn
105,Adgrg6
106,Enpp1
107,Arg1
108,Akap7
109,Tmem200a
110,L3mbtl3
111,Cenpw
112,Ncoa7
113,Tpd52l1
114,Slc16a10
115,Cep57l1
116,Foxo3
117,Sobp
118,Ddx21
119,Stox1
120,Lrrtm3
121,Arid5b
122,1700040L02Rik
123,Cdk1
124,Phyhipl
125,Bicc1
126,Gstt1
127,Gstt2
128,Col18a1
129,Pfkl
130,Shc2
131,Tcf3
132,Tjp3
133,Tle6
134,Gas2l3
135,Nudt4
136,Glipr1
137,Nup107
138,Hmga2
139,Rassf3
140,Rbms2
141,Erbb3
142,Ikzf4
143,Rdh5
144,Ppp1r14c
145,Lrp11
146,Nup43
147,Hivep2
148,Ahi1
149,Arhgap18
150,Ptprk
151,Hddc2
152,Cd24a
153,Sim1
154,Dcbld1
155,Gja1
156,Hsf2
157,Pkib
158,Smpdl3a
159,Spock2
160,Neurog3
161,Pbld2
162,Ctnna3
163,Upb1
164,S100b
165,Tspear
166,Palm
167,Misp
168,Cnn2
169,Abca7
170,Midn
171,Reep6
172,Tcp11l2
173,Btbd11
174,Pah
175,Igf1
176,Nup37
